Feature,Biological Layer,Total Cohorts,Cohorts Present,Total Algorithms,Algorithms Validating,Nomenclature,Signature,Decoded Genetic Element,Elements,CTAB,GSI,GFC,PFC,SCS,TNC,HRC,SMC,TMC,TIC,RCD,Combined Outcome,Protective Count,Risky Count,NS Count,RCD form,Omic feature,Phenotype,Expression,RSF Importance,RSF Validation,Boruta Importance,Boruta Validation,XGBoost Importance,XGBoost Validation,MTLR Importance,MTLR Validation,Total Validated Algorithms
SARC-289.5.3.P.1.64.64.4.4.1,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, RSF, Boruta, MTLR",SARC-289.5.3.P.1.64.64.4.4.1,ENST00000438747,(NSUN5(1/7)),1,SARC,289,5,3,P,1,64,64,4,4,1,Protective,2,0,2,Ferroptosis,Transcript,TSM,Unchanged,0.018886531,Validated (>0.005),9.951928046,Validated (>0.005),0.021182664,Validated (>0.005),0.119016301,Validated (>0.005),4
SARC-305.5.3.N.1.4.1.2.4.2,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-305.5.3.N.1.4.1.2.4.2,ENST00000504830,(ADAMTS12(1/6)),1,SARC,305,5,3,N,1,4,1,2,4,2,Risky,0,1,3,Apoptosis/Necrosis,Transcript,TSM,Unchanged,0.017414063,Validated (>0.005),11.62225099,Validated (>0.005),0.016935497,Validated (>0.005),0.041827854,Validated (>0.005),4
SARC-318.5.3.P.3.44.43.1.4.3,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, Boruta, RSF, MTLR",SARC-318.5.3.P.3.44.43.1.4.3,ENST00000541679,(RAN(1/12)),1,SARC,318,5,3,P,3,44,43,1,4,3,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Cellular senescence,Transcript,TSM,Overexpression,0.016909343,Validated (>0.005),10.0556776,Validated (>0.005),0.016474078,Validated (>0.005),0.04896625,Validated (>0.005),4
SARC-75.5.3.N.1.20.20.3.4.2,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, Boruta, MTLR, RSF",SARC-75.5.3.N.1.20.20.3.4.2,(ENST00000379375 + ENST00000261233 + ENST00000474500),(EDN1(1/1)) + (IRAK3(1/3)) + (PTPRZ1(1/21)),3,SARC,75,5,3,N,1,20,20,3,4,2,Protective,1,0,3,Apoptosis/Necrosis,Transcript,TSM,Unchanged,0.007082813,Validated (>0.005),13.72164157,Validated (>0.005),0.015291433,Validated (>0.005),0.03370952,Validated (>0.005),4
SARC-83.5.3.N.1.26.20.3.4.1,Transcript,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-83.5.3.N.1.26.20.3.4.1,(ENST00000453660 + ENST00000233809 + ENST00000583597 + ENST00000532295 + ENST00000379446 + ENST00000589228 + ENST00000417443 + ENST00000633367),(ABO(1/7)) + (IGFBP2(1/5)) + (MRC2(1/7)) + (MYCT1(1/3)) + (NEDD9(1/16)) + (PRKAR1A(1/25)) + (SMIM10L2A(1/1)) + (TMBIM4(1/12)),8,SARC,83,5,3,N,1,26,20,3,4,1,Protective,2,0,2,Apoptosis,Transcript,TSM,Unchanged,0.008483591,Validated (>0.005),6.630384346,Validated (>0.005),0.009271885,Validated (>0.005),0.120279224,Validated (>0.005),4
BLCA-1360.6.3.P.3.35.44.4.4.1,mRNA,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, Boruta, MTLR, RSF",BLCA-1360.6.3.P.3.35.44.4.4.1,RAC3,RAC3,1,BLCA,1360,6,3,P,3,35,44,4,4,1,Risky,0,3,1,Autophagy,mRNA,TSM,Overexpression,0.007673975,Validated (>0.005),20.49374607,Validated (>0.005),0.011826321,Validated (>0.005),0.127313233,Validated (>0.005),4
BLCA-1415.6.3.P.3.69.69.2.4.2,mRNA,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, Boruta, RSF, MTLR",BLCA-1415.6.3.P.3.69.69.2.4.2,SLC25A10,SLC25A10,1,BLCA,1415,6,3,P,3,69,69,2,4,2,Protective,2,0,2,Apoptosis/Ferroptosis,mRNA,TSM,Overexpression,0.010990939,Validated (>0.005),22.86678102,Validated (>0.005),0.01401472,Validated (>0.005),0.231913043,Validated (>0.005),4
BLCA-475.6.3.N.2.93.26.1.4.1,mRNA,4,"BLCA_DFI_df155, BLCA_DSS_df155, BLCA_OS_df155, BLCA_PFI_df155",4,"XGBoost, RSF, Boruta, MTLR",BLCA-475.6.3.N.2.93.26.1.4.1,(JUND + MS4A1 + NEDD9 + PHF1),(JUND + MS4A1 + NEDD9 + PHF1),4,BLCA,475,6,3,N,2,93,26,1,4,1,Protective,3,0,1,Apoptosis,mRNA,TSM,Underexpression,0.007954711,Validated (>0.005),22.87672429,Validated (>0.005),0.005793919,Validated (>0.005),0.077008508,Validated (>0.005),4
CESC-260.6.3.N.2.44.44.1.4.1,mRNA,4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, Boruta, MTLR, RSF",CESC-260.6.3.N.2.44.44.1.4.1,(FNDC3A + PMEPA1),(FNDC3A + PMEPA1),2,CESC,260,6,3,N,2,44,44,1,4,1,Meaningful Risky,0,4,0,Autophagy,mRNA,TSM,Underexpression,0.014061974,Validated (>0.005),16.51439834,Validated (>0.005),0.025303452,Validated (>0.005),0.461603898,Validated (>0.005),4
CESC-280.6.3.N.2.64.64.1.4.1,mRNA,4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",CESC-280.6.3.N.2.64.64.1.4.1,(IL3RA + KCNA5 + KCNMA1 + NME5 + PCP4),(IL3RA + KCNA5 + KCNMA1 + NME5 + PCP4),5,CESC,280,6,3,N,2,64,64,1,4,1,Protective,2,0,2,Apoptosis,mRNA,TSM,Underexpression,0.007919163,Validated (>0.005),10.89334411,Validated (>0.005),0.011198429,Validated (>0.005),0.053200624,Validated (>0.005),4
CESC-877.6.3.N.2.71.71.1.4.2,mRNA,4,"CESC_DFI_df017, CESC_DSS_df017, CESC_OS_df017, CESC_PFI_df017",4,"XGBoost, RSF, Boruta, MTLR",CESC-877.6.3.N.2.71.71.1.4.2,SELP,SELP,1,CESC,877,6,3,N,2,71,71,1,4,2,Protective,3,0,1,NETosis/Necrosis,mRNA,TSM,Underexpression,0.013997946,Validated (>0.005),14.74462789,Validated (>0.005),0.019134564,Validated (>0.005),0.200079353,Validated (>0.005),4
ESCA-284.6.3.P.3.1.1.4.4.5,mRNA,4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",ESCA-284.6.3.P.3.1.1.4.4.5,AIFM1,AIFM1,1,ESCA,284,6,3,P,3,1,1,4,4,5,Risky,0,1,3,Apoptosis/Autophagy/Parthanatos/Necrosis/Erebosis,mRNA,TSM,Overexpression,0.013270755,Validated (>0.005),11.68696424,Validated (>0.005),0.015204117,Validated (>0.005),0.074596183,Validated (>0.005),4
ESCA-697.6.3.N.2.44.34.2.4.1,mRNA,4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",ESCA-697.6.3.N.2.44.34.2.4.1,RGS4,RGS4,1,ESCA,697,6,3,N,2,44,34,2,4,1,Meaningful Risky,0,4,0,Apoptosis,mRNA,TSM,Underexpression,0.016092378,Validated (>0.005),8.825253437,Validated (>0.005),0.0219265,Validated (>0.005),0.443569637,Validated (>0.005),4
HNSC-134.6.3.N.3.11.20.3.2.1,mRNA,4,"HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017",4,"Boruta, XGBoost, RSF, MTLR",HNSC-134.6.3.N.3.11.20.3.2.1,(CCR3 + CD81 + MLLT11 + NES + PMP22 + PTPRO + RGS4),(CCR3 + CD81 + MLLT11 + NES + PMP22 + PTPRO + RGS4),7,HNSC,134,6,3,N,3,11,20,3,2,1,Risky,0,1,3,Apoptosis,mRNA,TSM,Overexpression,0.012050624,Validated (>0.005),6.736464015,Validated (>0.005),0.0102702,Validated (>0.005),0.12529085,Validated (>0.005),4
HNSC-1691.6.3.N.1.71.64.3.4.5,mRNA,4,"HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",HNSC-1691.6.3.N.1.71.64.3.4.5,S100A4,S100A4,1,HNSC,1691,6,3,N,1,71,64,3,4,5,Protective,3,0,1,Anoikis/Apoptosis/Autophagy/Ferroptosis/Pyroptosis,mRNA,TSM,Unchanged,0.006417122,Validated (>0.005),26.96637455,Validated (>0.005),0.009372332,Validated (>0.005),0.075367516,Validated (>0.005),4
KIRC-137.6.3.N.3.14.54.4.4.1,mRNA,4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"Boruta, XGBoost, RSF, MTLR",KIRC-137.6.3.N.3.14.54.4.4.1,(CD151 + FABP7),(CD151 + FABP7),2,KIRC,137,6,3,N,3,14,54,4,4,1,Risky,0,2,2,Apoptosis,mRNA,TSM,Overexpression,0.009603227,Validated (>0.005),8.416913902,Validated (>0.005),0.020445708,Validated (>0.005),0.203076865,Validated (>0.005),4
KIRC-154.6.3.N.3.11.11.3.4.1,mRNA,4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"Boruta, XGBoost, RSF, MTLR",KIRC-154.6.3.N.3.11.11.3.4.1,(CHST15 + LPCAT1 + PDLIM1 + RNF128 + XRCC1),(CHST15 + LPCAT1 + PDLIM1 + RNF128 + XRCC1),5,KIRC,154,6,3,N,3,11,11,3,4,1,Risky,0,1,3,Apoptosis,mRNA,TSM,Overexpression,0.010194565,Validated (>0.005),2.231000531,Validated (>0.005),0.074346062,Validated (>0.005),0.316174351,Validated (>0.005),4
KIRC-2017.6.1.P.3.35.35.2.2.6,mRNA,4,"KIRC_DFI_df161, KIRC_DSS_df161, KIRC_OS_df161, KIRC_PFI_df161",4,"XGBoost, Boruta, RSF, MTLR",KIRC-2017.6.1.P.3.35.35.2.2.6,PLK1,PLK1,1,KIRC,2017,6,1,P,3,35,35,2,2,6,Risky,0,3,1,Anoikis/Apoptosis/Autophagy/Cellular senescence/Mitotic catastrophe/Necroptosis,mRNA,TMB,Overexpression,0.00843366,Validated (>0.005),19.18098469,Validated (>0.005),0.011184616,Validated (>0.005),0.062653008,Validated (>0.005),4
KIRP-100.6.3.N.1.44.38.3.4.1,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-100.6.3.N.1.44.38.3.4.1,(COL6A1 + S1PR2),(COL6A1 + S1PR2),2,KIRP,100,6,3,N,1,44,38,3,4,1,Meaningful Risky,0,4,0,Autophagy,mRNA,TSM,Unchanged,0.020538864,Validated (>0.005),4.497529643,Validated (>0.005),0.019180224,Validated (>0.005),0.049119461,Validated (>0.005),4
KIRP-130.6.3.N.2.44.47.1.2.2,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-130.6.3.N.2.44.47.1.2.2,(ELN + LEF1),(ELN + LEF1),2,KIRP,130,6,3,N,2,44,47,1,2,2,Meaningful Risky,0,4,0,Apoptosis/Cellular senescence,mRNA,TSM,Underexpression,0.016312512,Validated (>0.005),3.518201832,Validated (>0.005),0.013832438,Validated (>0.005),0.037971495,Validated (>0.005),4
KIRP-342.6.3.N.3.71.65.2.3.1,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",KIRP-342.6.3.N.3.71.65.2.3.1,(EPHA1 + SNPH),(EPHA1 + SNPH),2,KIRP,342,6,3,N,3,71,65,2,3,1,Protective,3,0,1,Autophagy,mRNA,TSM,Overexpression,0.009036734,Validated (>0.005),2.436260683,Validated (>0.005),0.011124941,Validated (>0.005),0.040820482,Validated (>0.005),4
KIRP-405.6.3.N.2.95.84.2.4.1,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"Boruta, XGBoost, MTLR, RSF",KIRP-405.6.3.N.2.95.84.2.4.1,(MT1E + RPS6KA2 + SFTPD + VAMP2 + ZBTB16),(MT1E + RPS6KA2 + SFTPD + VAMP2 + ZBTB16),5,KIRP,405,6,3,N,2,95,84,2,4,1,Meaningful Protective,4,0,0,Apoptosis,mRNA,TSM,Underexpression,0.00924231,Validated (>0.005),3.033432119,Validated (>0.005),0.023685522,Validated (>0.005),0.059344604,Validated (>0.005),4
KIRP-493.6.3.P.3.44.58.1.2.3,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR",KIRP-493.6.3.P.3.44.58.1.2.3,CCNB1,CCNB1,1,KIRP,493,6,3,P,3,44,58,1,2,3,Meaningful Risky,0,4,0,Apoptosis/Cellular senescence/Mitotic catastrophe,mRNA,TSM,Overexpression,0.016346133,Validated (>0.005),3.201801243,Validated (>0.005),0.044878837,Validated (>0.005),0.034101209,Validated (>0.005),4
KIRP-524.6.3.N.1.44.44.3.4.3,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"XGBoost, RSF, Boruta, MTLR",KIRP-524.6.3.N.1.44.44.3.4.3,COL1A1,COL1A1,1,KIRP,524,6,3,N,1,44,44,3,4,3,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Necrosis,mRNA,TSM,Unchanged,0.011462578,Validated (>0.005),1.513260765,Validated (>0.005),0.018860424,Validated (>0.005),0.018330028,Validated (>0.005),4
KIRP-89.6.3.P.3.44.56.2.2.1,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",KIRP-89.6.3.P.3.44.56.2.2.1,(CDKN3 + HSPE1 + NEIL3 + NME1 + SPC24),(CDKN3 + HSPE1 + NEIL3 + NME1 + SPC24),5,KIRP,89,6,3,P,3,44,56,2,2,1,Meaningful Risky,0,4,0,Apoptosis,mRNA,TSM,Overexpression,0.033320617,Validated (>0.005),4.958053953,Validated (>0.005),0.039879676,Validated (>0.005),0.062298187,Validated (>0.005),4
KIRP-898.6.3.N.3.44.58.3.4.2,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"Boruta, MTLR, XGBoost, RSF",KIRP-898.6.3.N.3.44.58.3.4.2,FAP,FAP,1,KIRP,898,6,3,N,3,44,58,3,4,2,Meaningful Risky,0,4,0,Apoptosis/Autophagy,mRNA,TSM,Overexpression,0.016408647,Validated (>0.005),4.434841262,Validated (>0.005),0.044478904,Validated (>0.005),0.069726097,Validated (>0.005),4
KIRP-947.6.3.P.3.44.43.4.4.3,mRNA,4,"KIRP_DFI_df377, KIRP_DSS_df377, KIRP_OS_df377, KIRP_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",KIRP-947.6.3.P.3.44.43.4.4.3,HSPA4,HSPA4,1,KIRP,947,6,3,P,3,44,43,4,4,3,Meaningful Risky,0,4,0,Apoptosis/Necroptosis/Necrosis,mRNA,TSM,Overexpression,0.025281406,Validated (>0.005),3.441225802,Validated (>0.005),0.005303975,Validated (>0.005),0.067953286,Validated (>0.005),4
LIHC-199.6.3.P.3.44.80.1.4.2,mRNA,4,"LIHC_DFI_df160, LIHC_DSS_df160, LIHC_OS_df160, LIHC_PFI_df160",4,"XGBoost, RSF, Boruta, MTLR",LIHC-199.6.3.P.3.44.80.1.4.2,(CISD1 + SPC25),(CISD1 + SPC25),2,LIHC,199,6,3,P,3,44,80,1,4,2,Meaningful Risky,0,4,0,Autophagy/Ferroptosis,mRNA,TSM,Overexpression,0.012230821,Validated (>0.005),21.28616125,Validated (>0.005),0.021832708,Validated (>0.005),0.348489886,Validated (>0.005),4
LUSC-798.6.3.P.3.64.64.2.4.2,mRNA,4,"LUSC_DFI_df147, LUSC_DSS_df147, LUSC_OS_df147, LUSC_PFI_df147",4,"Boruta, XGBoost, RSF, MTLR",LUSC-798.6.3.P.3.64.64.2.4.2,(GALNT14 + GLS2),(GALNT14 + GLS2),2,LUSC,798,6,3,P,3,64,64,2,4,2,Protective,2,0,2,Apoptosis/Ferroptosis,mRNA,TSM,Overexpression,0.011937694,Validated (>0.005),18.45993364,Validated (>0.005),0.00764201,Validated (>0.005),0.053415038,Validated (>0.005),4
OV-341.6.3.N.2.7.7.2.4.2,mRNA,4,"OV_DFI_df377, OV_DSS_df377, OV_OS_df377, OV_PFI_df377",4,"XGBoost, RSF, MTLR, Boruta",OV-341.6.3.N.2.7.7.2.4.2,PTHLH,PTHLH,1,OV,341,6,3,N,2,7,7,2,4,2,Protective,1,0,3,Anoikis/Apoptosis,mRNA,TSM,Underexpression,0.009853474,Validated (>0.005),28.88707204,Validated (>0.005),0.036743526,Validated (>0.005),0.121992925,Validated (>0.005),4
OV-359.6.3.N.3.31.31.3.4.1,mRNA,4,"OV_DFI_df377, OV_DSS_df377, OV_OS_df377, OV_PFI_df377",4,"XGBoost, Boruta, RSF, MTLR",OV-359.6.3.N.3.31.31.3.4.1,UNC5B,UNC5B,1,OV,359,6,3,N,3,31,31,3,4,1,Risky,0,2,2,Apoptosis,mRNA,TSM,Overexpression,0.010188517,Validated (>0.005),24.52012699,Validated (>0.005),0.024572219,Validated (>0.005),0.054663176,Validated (>0.005),4
PAAD-1319.6.2.N.3.44.31.4.4.1,mRNA,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, MTLR, RSF",PAAD-1319.6.2.N.3.44.31.4.4.1,GJB5,GJB5,1,PAAD,1319,6,2,N,3,44,31,4,4,1,Meaningful Risky,0,4,0,Autophagy,mRNA,MSI,Overexpression,0.016896893,Validated (>0.005),8.63030048,Validated (>0.005),0.02302979,Validated (>0.005),0.183119384,Validated (>0.005),4
PAAD-163.6.2.N.3.44.44.4.4.2,mRNA,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",PAAD-163.6.2.N.3.44.44.4.4.2,(CAPG + HECW1 + NOTCH2 + REST + STEAP3),(CAPG + HECW1 + NOTCH2 + REST + STEAP3),5,PAAD,163,6,2,N,3,44,44,4,4,2,Meaningful Risky,0,4,0,Apoptosis/Ferroptosis,mRNA,MSI,Overexpression,0.008679716,Validated (>0.005),1.83972793,Validated (>0.005),0.01156934,Validated (>0.005),0.088432005,Validated (>0.005),4
PAAD-1826.6.3.N.3.44.41.4.4.4,mRNA,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",PAAD-1826.6.3.N.3.44.41.4.4.4,WNT5A,WNT5A,1,PAAD,1826,6,3,N,3,44,41,4,4,4,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Cellular senescence/Necrosis,mRNA,TSM,Overexpression,0.02647989,Validated (>0.005),2.465069982,Validated (>0.005),0.024929488,Validated (>0.005),0.121334073,Validated (>0.005),4
PAAD-1827.6.2.N.3.44.44.4.4.2,mRNA,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",PAAD-1827.6.2.N.3.44.44.4.4.2,WNT7A,WNT7A,1,PAAD,1827,6,2,N,3,44,44,4,4,2,Meaningful Risky,0,4,0,Apoptosis/Cellular senescence,mRNA,MSI,Overexpression,0.019435032,Validated (>0.005),3.027050789,Validated (>0.005),0.027080599,Validated (>0.005),0.141979752,Validated (>0.005),4
PAAD-37.6.3.N.3.41.44.3.4.2,mRNA,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",PAAD-37.6.3.N.3.41.44.3.4.2,(ACVR1 + TIMP3),(ACVR1 + TIMP3),2,PAAD,37,6,3,N,3,41,44,3,4,2,Risky,0,2,2,Apoptosis/Necrosis,mRNA,TSM,Overexpression,0.018962609,Validated (>0.005),1.760243778,Validated (>0.005),0.029611748,Validated (>0.005),0.085250477,Validated (>0.005),4
PAAD-552.6.3.N.3.44.44.3.4.4,mRNA,4,"PAAD_DFI_df377, PAAD_DSS_df377, PAAD_OS_df377, PAAD_PFI_df377",4,"Boruta, XGBoost, RSF, MTLR",PAAD-552.6.3.N.3.44.44.3.4.4,(LGALS1 + SNAI2),(LGALS1 + SNAI2),2,PAAD,552,6,3,N,3,44,44,3,4,4,Meaningful Risky,0,4,0,Anoikis/Apoptosis/Autophagy/Ferroptosis,mRNA,TSM,Overexpression,0.010471318,Validated (>0.005),2.002601468,Validated (>0.005),0.027528287,Validated (>0.005),0.08664557,Validated (>0.005),4
SARC-134.6.3.P.1.35.35.1.4.1,mRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, RSF, Boruta, MTLR",SARC-134.6.3.P.1.35.35.1.4.1,(MCTS1 + RUVBL1 + UQCRH),(MCTS1 + RUVBL1 + UQCRH),3,SARC,134,6,3,P,1,35,35,1,4,1,Risky,0,3,1,Apoptosis,mRNA,TSM,Unchanged,0.008715639,Validated (>0.005),8.19992243,Validated (>0.005),0.01069427,Validated (>0.005),0.062050697,Validated (>0.005),4
SARC-361.6.3.N.1.64.64.2.4.3,mRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, Boruta, RSF, MTLR",SARC-361.6.3.N.1.64.64.2.4.3,IGFBP7,IGFBP7,1,SARC,361,6,3,N,1,64,64,2,4,3,Protective,2,0,2,Apoptosis/Cellular senescence/Ferroptosis,mRNA,TSM,Unchanged,0.014241141,Validated (>0.005),11.25659554,Validated (>0.005),0.008294412,Validated (>0.005),0.062363472,Validated (>0.005),4
SARC-376.6.3.N.1.1.31.4.4.2,mRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-376.6.3.N.1.1.31.4.4.2,MAGED2,MAGED2,1,SARC,376,6,3,N,1,1,31,4,4,2,Risky,0,1,3,Apoptosis/Autophagy,mRNA,TSM,Unchanged,0.009682405,Validated (>0.005),7.169879907,Validated (>0.005),0.016234195,Validated (>0.005),0.053904677,Validated (>0.005),4
SARC-42.6.3.N.1.20.20.3.4.1,mRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-42.6.3.N.1.20.20.3.4.1,(COLEC12 + FHDC1 + NDN + SMIM10L2A),(COLEC12 + FHDC1 + NDN + SMIM10L2A),4,SARC,42,6,3,N,1,20,20,3,4,1,Protective,1,0,3,Apoptosis,mRNA,TSM,Unchanged,0.006495798,Validated (>0.005),6.571137832,Validated (>0.005),0.012678455,Validated (>0.005),0.078881084,Validated (>0.005),4
SARC-422.6.3.N.1.4.1.3.4.3,mRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"Boruta, XGBoost, RSF, MTLR",SARC-422.6.3.N.1.4.1.3.4.3,POSTN,POSTN,1,SARC,422,6,3,N,1,4,1,3,4,3,Risky,0,1,3,Apoptosis/Autophagy/Necrosis,mRNA,TSM,Unchanged,0.009758621,Validated (>0.005),10.20082218,Validated (>0.005),0.006607001,Validated (>0.005),0.041147677,Validated (>0.005),4
SARC-431.6.3.P.3.44.44.1.4.3,mRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, RSF, Boruta, MTLR",SARC-431.6.3.P.3.44.44.1.4.3,RAN,RAN,1,SARC,431,6,3,P,3,44,44,1,4,3,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Cellular senescence,mRNA,TSM,Overexpression,0.007590155,Validated (>0.005),7.109173509,Validated (>0.005),0.007682918,Validated (>0.005),0.040990213,Validated (>0.005),4
ESCA-275.4.3.P.3.35.35.4.4.1,microRNA,4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",ESCA-275.4.3.P.3.35.35.4.4.1,(`hsa-miR-421` + `hsa-miR-629-3p`),"MIR421(1/1), MIR629(1/1)",2,ESCA,275,4,3,P,3,35,35,4,4,1,Risky,0,3,1,Apoptosis,miRNA,TSM,Overexpression,0.016411953,Validated (>0.005),9.65241394,Validated (>0.005),0.017200837,Validated (>0.005),0.480933131,Validated (>0.005),4
ESCA-782.4.3.P.3.21.20.4.4.1,microRNA,4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"XGBoost, Boruta, RSF, MTLR",ESCA-782.4.3.P.3.21.20.4.4.1,hsa-miR-191-3p,MIR191(1/1),1,ESCA,782,4,3,P,3,21,20,4,4,1,Mixed,1,1,2,Apoptosis,miRNA,TSM,Overexpression,0.015840943,Validated (>0.005),10.61042015,Validated (>0.005),0.016745125,Validated (>0.005),0.087619451,Validated (>0.005),4
ESCA-801.4.3.P.3.51.30.4.4.1,microRNA,4,"ESCA_DFI_df017, ESCA_DSS_df017, ESCA_OS_df017, ESCA_PFI_df017",4,"Boruta, XGBoost, RSF, MTLR",ESCA-801.4.3.P.3.51.30.4.4.1,hsa-miR-629-5p,MIR629(1/1),1,ESCA,801,4,3,P,3,51,30,4,4,1,Mixed,1,1,2,Apoptosis,miRNA,TSM,Overexpression,0.018091257,Validated (>0.005),9.454656645,Validated (>0.005),0.025089125,Validated (>0.005),0.597016593,Validated (>0.005),4
HNSC-1870.4.3.N.2.44.66.2.4.4,microRNA,4,"HNSC_DFI_df017, HNSC_DSS_df017, HNSC_OS_df017, HNSC_PFI_df017",4,"Boruta, XGBoost, RSF, MTLR",HNSC-1870.4.3.N.2.44.66.2.4.4,hsa-miR-206,MIR206(1/1),1,HNSC,1870,4,3,N,2,44,66,2,4,4,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Pyroptosis/Necrosis,miRNA,TSM,Underexpression,0.010241058,Validated (>0.005),6.868333803,Validated (>0.005),0.012691413,Validated (>0.005),0.07505573,Validated (>0.005),4
SARC-141.4.3.P.0.44.35.1.4.3,microRNA,4,"SARC_DFI_df305, SARC_DSS_df305, SARC_OS_df305, SARC_PFI_df305",4,"XGBoost, RSF, Boruta, MTLR",SARC-141.4.3.P.0.44.35.1.4.3,(`hsa-miR-17-5p` + `hsa-miR-93-5p`),"MIR17HG(1/1), MIR93(1/1)",2,SARC,141,4,3,P,0,44,35,1,4,3,Meaningful Risky,0,4,0,Apoptosis/Autophagy/Ferroptosis,miRNA,TSM,No_data,0.006758182,Validated (>0.005),8.430346129,Validated (>0.005),0.010739361,Validated (>0.005),0.058049442,Validated (>0.005),4
