cohort	model	param	value
KIRC_DSS_df161	XGBoost	max_depth	4
KIRC_DSS_df161	XGBoost	min_child_weight	3
KIRC_DSS_df161	XGBoost	subsample	0.8
KIRC_DSS_df161	XGBoost	nthread	1
KIRC_DSS_df161	XGBoost	validate_parameters	TRUE
KIRC_DSS_df161	XGBoost	nrounds	500
KIRC_DSS_df161	RSF	ntree	1000
KIRC_DSS_df161	RSF	mtry	35
KIRC_DSS_df161	RSF	nodesize	15
KIRC_DSS_df161	MTLR	nintervals	default
KIRC_DSS_df161	MTLR	regularization	C1=1
KIRC_DSS_df161	MVL	weight_RSF	0.25
KIRC_DSS_df161	MVL	weight_XGBoost	0.25
KIRC_DSS_df161	MVL	weight_MTLR	0.25
KIRC_DSS_df161	MVL	weight_Boruta	0.25
KIRC_OS_df161	XGBoost	objective	survival:cox
KIRC_OS_df161	XGBoost	eval_metric	cox-nloglik
KIRC_OS_df161	XGBoost	eta	0.05
KIRC_OS_df161	XGBoost	max_depth	4
KIRC_OS_df161	XGBoost	min_child_weight	3
KIRC_OS_df161	XGBoost	subsample	0.8
KIRC_OS_df161	XGBoost	nthread	1
KIRC_OS_df161	XGBoost	validate_parameters	TRUE
KIRC_OS_df161	XGBoost	nrounds	500
KIRC_OS_df161	RSF	ntree	1000
KIRC_OS_df161	RSF	mtry	35
KIRC_OS_df161	RSF	nodesize	15
KIRC_OS_df161	MTLR	nintervals	default
KIRC_OS_df161	MTLR	regularization	C1=1
KIRC_OS_df161	MVL	weight_RSF	0.25
KIRC_OS_df161	MVL	weight_XGBoost	0.25
KIRC_OS_df161	MVL	weight_MTLR	0.25
KIRC_OS_df161	MVL	weight_Boruta	0.25
KIRC_PFI_df161	XGBoost	objective	survival:cox
KIRC_PFI_df161	XGBoost	eval_metric	cox-nloglik
KIRC_PFI_df161	XGBoost	eta	0.05
KIRC_PFI_df161	XGBoost	max_depth	4
KIRC_PFI_df161	XGBoost	min_child_weight	3
KIRC_PFI_df161	XGBoost	subsample	0.8
KIRC_PFI_df161	XGBoost	nthread	1
KIRC_PFI_df161	XGBoost	validate_parameters	TRUE
KIRC_PFI_df161	XGBoost	nrounds	500
KIRC_PFI_df161	RSF	ntree	1000
KIRC_PFI_df161	RSF	mtry	35
KIRC_PFI_df161	RSF	nodesize	15
KIRC_PFI_df161	MTLR	nintervals	default
KIRC_PFI_df161	MTLR	regularization	C1=1
KIRC_PFI_df161	MVL	weight_RSF	0.25
KIRC_PFI_df161	MVL	weight_XGBoost	0.25
KIRC_PFI_df161	MVL	weight_MTLR	0.25
KIRC_PFI_df161	MVL	weight_Boruta	0.25
KIRP_DFI_df377	XGBoost	objective	survival:cox
KIRP_DFI_df377	XGBoost	eval_metric	cox-nloglik
KIRP_DFI_df377	XGBoost	eta	0.05
KIRP_DFI_df377	XGBoost	max_depth	4
KIRP_DFI_df377	XGBoost	min_child_weight	3
KIRP_DFI_df377	XGBoost	subsample	0.8
KIRP_DFI_df377	XGBoost	nthread	1
KIRP_DFI_df377	XGBoost	validate_parameters	TRUE
KIRP_DFI_df377	XGBoost	nrounds	500
KIRP_DFI_df377	RSF	ntree	1000
KIRP_DFI_df377	RSF	mtry	27
KIRP_DFI_df377	RSF	nodesize	15
KIRP_DFI_df377	MTLR	nintervals	default
KIRP_DFI_df377	MTLR	regularization	C1=1
KIRP_DFI_df377	MVL	weight_RSF	0.25
KIRP_DFI_df377	MVL	weight_XGBoost	0.25
KIRP_DFI_df377	MVL	weight_MTLR	0.25
KIRP_DFI_df377	MVL	weight_Boruta	0.25
KIRP_DSS_df377	XGBoost	objective	survival:cox
KIRP_DSS_df377	XGBoost	eval_metric	cox-nloglik
KIRP_DSS_df377	XGBoost	eta	0.05
KIRP_DSS_df377	XGBoost	max_depth	4
KIRP_DSS_df377	XGBoost	min_child_weight	3
KIRP_DSS_df377	XGBoost	subsample	0.8
KIRP_DSS_df377	XGBoost	nthread	1
KIRP_DSS_df377	XGBoost	validate_parameters	TRUE
KIRP_DSS_df377	XGBoost	nrounds	500
KIRP_DSS_df377	RSF	ntree	1000
KIRP_DSS_df377	RSF	mtry	27
KIRP_DSS_df377	RSF	nodesize	15
KIRP_DSS_df377	MTLR	nintervals	default
KIRP_DSS_df377	MTLR	regularization	C1=1
KIRP_DSS_df377	MVL	weight_RSF	0.25
KIRP_DSS_df377	MVL	weight_XGBoost	0.25
KIRP_DSS_df377	MVL	weight_MTLR	0.25
KIRP_DSS_df377	MVL	weight_Boruta	0.25
KIRP_OS_df377	XGBoost	objective	survival:cox
KIRP_OS_df377	XGBoost	eval_metric	cox-nloglik
KIRP_OS_df377	XGBoost	eta	0.05
KIRP_OS_df377	XGBoost	max_depth	4
KIRP_OS_df377	XGBoost	min_child_weight	3
KIRP_OS_df377	XGBoost	subsample	0.8
KIRP_OS_df377	XGBoost	nthread	1
KIRP_OS_df377	XGBoost	validate_parameters	TRUE
KIRP_OS_df377	XGBoost	nrounds	500
KIRP_OS_df377	RSF	ntree	1000
KIRP_OS_df377	RSF	mtry	27
KIRP_OS_df377	RSF	nodesize	15
KIRP_OS_df377	MTLR	nintervals	default
KIRP_OS_df377	MTLR	regularization	C1=1
KIRP_OS_df377	MVL	weight_RSF	0.25
KIRP_OS_df377	MVL	weight_XGBoost	0.25
KIRP_OS_df377	MVL	weight_MTLR	0.25
KIRP_OS_df377	MVL	weight_Boruta	0.25
KIRP_PFI_df377	XGBoost	objective	survival:cox
KIRP_PFI_df377	XGBoost	eval_metric	cox-nloglik
KIRP_PFI_df377	XGBoost	eta	0.05
KIRP_PFI_df377	XGBoost	max_depth	4
KIRP_PFI_df377	XGBoost	min_child_weight	3
KIRP_PFI_df377	XGBoost	subsample	0.8
KIRP_PFI_df377	XGBoost	nthread	1
KIRP_PFI_df377	XGBoost	validate_parameters	TRUE
KIRP_PFI_df377	XGBoost	nrounds	500
KIRP_PFI_df377	RSF	ntree	1000
KIRP_PFI_df377	RSF	mtry	27
KIRP_PFI_df377	RSF	nodesize	15
KIRP_PFI_df377	MTLR	nintervals	default
KIRP_PFI_df377	MTLR	regularization	C1=1
KIRP_PFI_df377	MVL	weight_RSF	0.25
KIRP_PFI_df377	MVL	weight_XGBoost	0.25
KIRP_PFI_df377	MVL	weight_MTLR	0.25
KIRP_PFI_df377	MVL	weight_Boruta	0.25
LAML_OS_df377	XGBoost	objective	survival:cox
LAML_OS_df377	XGBoost	eval_metric	cox-nloglik
LAML_OS_df377	XGBoost	eta	0.05
LAML_OS_df377	XGBoost	max_depth	4
LAML_OS_df377	XGBoost	min_child_weight	3
LAML_OS_df377	XGBoost	subsample	0.8
LAML_OS_df377	XGBoost	nthread	1
LAML_OS_df377	XGBoost	validate_parameters	TRUE
LAML_OS_df377	XGBoost	nrounds	500
LAML_OS_df377	RSF	ntree	1000
LAML_OS_df377	RSF	mtry	8
LAML_OS_df377	RSF	nodesize	15
LAML_OS_df377	MTLR	nintervals	default
LAML_OS_df377	MTLR	regularization	C1=1
LAML_OS_df377	MVL	weight_RSF	0.25
LAML_OS_df377	MVL	weight_XGBoost	0.25
LAML_OS_df377	MVL	weight_MTLR	0.25
LAML_OS_df377	MVL	weight_Boruta	0.25
LGG_DFI_df374	XGBoost	objective	survival:cox
LGG_DFI_df374	XGBoost	eval_metric	cox-nloglik
LGG_DFI_df374	XGBoost	eta	0.05
LGG_DFI_df374	XGBoost	max_depth	4
LGG_DFI_df374	XGBoost	min_child_weight	3
LGG_DFI_df374	XGBoost	subsample	0.8
LGG_DFI_df374	XGBoost	nthread	1
LGG_DFI_df374	XGBoost	validate_parameters	TRUE
LGG_DFI_df374	XGBoost	nrounds	500
LGG_DFI_df374	RSF	ntree	1000
LGG_DFI_df374	RSF	mtry	42
LGG_DFI_df374	RSF	nodesize	15
LGG_DFI_df374	MTLR	nintervals	default
LGG_DFI_df374	MTLR	regularization	C1=0.1
LGG_DFI_df374	MVL	weight_RSF	0.25
LGG_DFI_df374	MVL	weight_XGBoost	0.25
LGG_DFI_df374	MVL	weight_MTLR	0.25
LGG_DFI_df374	MVL	weight_Boruta	0.25
LGG_DSS_df374	XGBoost	objective	survival:cox
LGG_DSS_df374	XGBoost	eval_metric	cox-nloglik
LGG_DSS_df374	XGBoost	eta	0.05
LGG_DSS_df374	XGBoost	max_depth	4
LGG_DSS_df374	XGBoost	min_child_weight	3
LGG_DSS_df374	XGBoost	subsample	0.8
LGG_DSS_df374	XGBoost	nthread	1
LGG_DSS_df374	XGBoost	validate_parameters	TRUE
LGG_DSS_df374	XGBoost	nrounds	500
LGG_DSS_df374	RSF	ntree	1000
LGG_DSS_df374	RSF	mtry	42
LGG_DSS_df374	RSF	nodesize	15
LGG_DSS_df374	MTLR	nintervals	default
LGG_DSS_df374	MTLR	regularization	C1=0.1
LGG_DSS_df374	MVL	weight_RSF	0.25
LGG_DSS_df374	MVL	weight_XGBoost	0.25
LGG_DSS_df374	MVL	weight_MTLR	0.25
LGG_DSS_df374	MVL	weight_Boruta	0.25
LGG_OS_df374	XGBoost	objective	survival:cox
LGG_OS_df374	XGBoost	eval_metric	cox-nloglik
LGG_OS_df374	XGBoost	eta	0.05
LGG_OS_df374	XGBoost	max_depth	4
LGG_OS_df374	XGBoost	min_child_weight	3
LGG_OS_df374	XGBoost	subsample	0.8
LGG_OS_df374	XGBoost	nthread	1
LGG_OS_df374	XGBoost	validate_parameters	TRUE
LGG_OS_df374	XGBoost	nrounds	500
LGG_OS_df374	RSF	ntree	1000
LGG_OS_df374	RSF	mtry	42
LGG_OS_df374	RSF	nodesize	15
LGG_OS_df374	MTLR	nintervals	default
LGG_OS_df374	MTLR	regularization	C1=0.1
LGG_OS_df374	MVL	weight_RSF	0.25
LGG_OS_df374	MVL	weight_XGBoost	0.25
LGG_OS_df374	MVL	weight_MTLR	0.25
LGG_OS_df374	MVL	weight_Boruta	0.25
LGG_PFI_df374	XGBoost	objective	survival:cox
LGG_PFI_df374	XGBoost	eval_metric	cox-nloglik
LGG_PFI_df374	XGBoost	eta	0.05
LGG_PFI_df374	XGBoost	max_depth	4
LGG_PFI_df374	XGBoost	min_child_weight	3
LGG_PFI_df374	XGBoost	subsample	0.8
LGG_PFI_df374	XGBoost	nthread	1
LGG_PFI_df374	XGBoost	validate_parameters	TRUE
LGG_PFI_df374	XGBoost	nrounds	500
LGG_PFI_df374	RSF	ntree	1000
LGG_PFI_df374	RSF	mtry	42
LGG_PFI_df374	RSF	nodesize	15
LGG_PFI_df374	MTLR	nintervals	default
LGG_PFI_df374	MTLR	regularization	C1=1
LGG_PFI_df374	MVL	weight_RSF	0.25
LGG_PFI_df374	MVL	weight_XGBoost	0.25
LGG_PFI_df374	MVL	weight_MTLR	0.25
LGG_PFI_df374	MVL	weight_Boruta	0.25
LIHC_DFI_df160	XGBoost	objective	survival:cox
LIHC_DFI_df160	XGBoost	eval_metric	cox-nloglik
LIHC_DFI_df160	XGBoost	eta	0.05
LIHC_DFI_df160	XGBoost	max_depth	4
LIHC_DFI_df160	XGBoost	min_child_weight	3
LIHC_DFI_df160	XGBoost	subsample	0.8
LIHC_DFI_df160	XGBoost	nthread	1
LIHC_DFI_df160	XGBoost	validate_parameters	TRUE
LIHC_DFI_df160	XGBoost	nrounds	500
LIHC_DFI_df160	RSF	ntree	1000
LIHC_DFI_df160	RSF	mtry	29
LIHC_DFI_df160	RSF	nodesize	15
LIHC_DFI_df160	MTLR	nintervals	default
LIHC_DFI_df160	MTLR	regularization	C1=1
LIHC_DFI_df160	MVL	weight_RSF	0.25
LIHC_DFI_df160	MVL	weight_XGBoost	0.25
LIHC_DFI_df160	MVL	weight_MTLR	0.25
LIHC_DFI_df160	MVL	weight_Boruta	0.25
LIHC_DSS_df160	XGBoost	objective	survival:cox
LIHC_DSS_df160	XGBoost	eval_metric	cox-nloglik
LIHC_DSS_df160	XGBoost	eta	0.05
LIHC_DSS_df160	XGBoost	max_depth	4
LIHC_DSS_df160	XGBoost	min_child_weight	3
LIHC_DSS_df160	XGBoost	subsample	0.8
LIHC_DSS_df160	XGBoost	nthread	1
LIHC_DSS_df160	XGBoost	validate_parameters	TRUE
LIHC_DSS_df160	XGBoost	nrounds	500
LIHC_DSS_df160	RSF	ntree	1000
LIHC_DSS_df160	RSF	mtry	29
LIHC_DSS_df160	RSF	nodesize	15
LIHC_DSS_df160	MTLR	nintervals	default
LIHC_DSS_df160	MTLR	regularization	C1=0.1
LIHC_DSS_df160	MVL	weight_RSF	0.25
LIHC_DSS_df160	MVL	weight_XGBoost	0.25
LIHC_DSS_df160	MVL	weight_MTLR	0.25
LIHC_DSS_df160	MVL	weight_Boruta	0.25
LIHC_OS_df160	XGBoost	objective	survival:cox
LIHC_OS_df160	XGBoost	eval_metric	cox-nloglik
LIHC_OS_df160	XGBoost	eta	0.05
LIHC_OS_df160	XGBoost	max_depth	4
LIHC_OS_df160	XGBoost	min_child_weight	3
LIHC_OS_df160	XGBoost	subsample	0.8
LIHC_OS_df160	XGBoost	nthread	1
LIHC_OS_df160	XGBoost	validate_parameters	TRUE
LIHC_OS_df160	XGBoost	nrounds	500
LIHC_OS_df160	RSF	ntree	1000
LIHC_OS_df160	RSF	mtry	29
LIHC_OS_df160	RSF	nodesize	15
LIHC_OS_df160	MTLR	nintervals	default
LIHC_OS_df160	MTLR	regularization	C1=0.1
LIHC_OS_df160	MVL	weight_RSF	0.25
LIHC_OS_df160	MVL	weight_XGBoost	0.25
LIHC_OS_df160	MVL	weight_MTLR	0.25
LIHC_OS_df160	MVL	weight_Boruta	0.25
LIHC_PFI_df160	XGBoost	objective	survival:cox
LIHC_PFI_df160	XGBoost	eval_metric	cox-nloglik
LIHC_PFI_df160	XGBoost	eta	0.05
LIHC_PFI_df160	XGBoost	max_depth	4
LIHC_PFI_df160	XGBoost	min_child_weight	3
LIHC_PFI_df160	XGBoost	subsample	0.8
LIHC_PFI_df160	XGBoost	nthread	1
LIHC_PFI_df160	XGBoost	validate_parameters	TRUE
LIHC_PFI_df160	XGBoost	nrounds	500
LIHC_PFI_df160	RSF	ntree	1000
LIHC_PFI_df160	RSF	mtry	29
LIHC_PFI_df160	RSF	nodesize	15
LIHC_PFI_df160	MTLR	nintervals	default
LIHC_PFI_df160	MTLR	regularization	C1=0.1
LIHC_PFI_df160	MVL	weight_RSF	0.25
LIHC_PFI_df160	MVL	weight_XGBoost	0.25
LIHC_PFI_df160	MVL	weight_MTLR	0.25
LIHC_PFI_df160	MVL	weight_Boruta	0.25
LUAD_DFI_df017	XGBoost	objective	survival:cox
LUAD_DFI_df017	XGBoost	eval_metric	cox-nloglik
LUAD_DFI_df017	XGBoost	eta	0.05
LUAD_DFI_df017	XGBoost	max_depth	4
LUAD_DFI_df017	XGBoost	min_child_weight	3
LUAD_DFI_df017	XGBoost	subsample	0.8
LUAD_DFI_df017	XGBoost	nthread	1
LUAD_DFI_df017	XGBoost	validate_parameters	TRUE
LUAD_DFI_df017	XGBoost	nrounds	500
LUAD_DFI_df017	RSF	ntree	1000
LUAD_DFI_df017	RSF	mtry	34
LUAD_DFI_df017	RSF	nodesize	15
LUAD_DFI_df017	MTLR	nintervals	default
LUAD_DFI_df017	MTLR	regularization	C1=1
LUAD_DFI_df017	MVL	weight_RSF	0.25
LUAD_DFI_df017	MVL	weight_XGBoost	0.25
LUAD_DFI_df017	MVL	weight_MTLR	0.25
LUAD_DFI_df017	MVL	weight_Boruta	0.25
LUAD_DSS_df017	XGBoost	objective	survival:cox
LUAD_DSS_df017	XGBoost	eval_metric	cox-nloglik
LUAD_DSS_df017	XGBoost	eta	0.05
LUAD_DSS_df017	XGBoost	max_depth	4
LUAD_DSS_df017	XGBoost	min_child_weight	3
LUAD_DSS_df017	XGBoost	subsample	0.8
LUAD_DSS_df017	XGBoost	nthread	1
LUAD_DSS_df017	XGBoost	validate_parameters	TRUE
LUAD_DSS_df017	XGBoost	nrounds	500
LUAD_DSS_df017	RSF	ntree	1000
LUAD_DSS_df017	RSF	mtry	34
LUAD_DSS_df017	RSF	nodesize	15
LUAD_DSS_df017	MTLR	nintervals	default
LUAD_DSS_df017	MTLR	regularization	C1=0.1
LUAD_DSS_df017	MVL	weight_RSF	0.25
LUAD_DSS_df017	MVL	weight_XGBoost	0.25
LUAD_DSS_df017	MVL	weight_MTLR	0.25
LUAD_DSS_df017	MVL	weight_Boruta	0.25
LUAD_OS_df017	XGBoost	objective	survival:cox
LUAD_OS_df017	XGBoost	eval_metric	cox-nloglik
LUAD_OS_df017	XGBoost	eta	0.05
LUAD_OS_df017	XGBoost	max_depth	4
LUAD_OS_df017	XGBoost	min_child_weight	3
LUAD_OS_df017	XGBoost	subsample	0.8
LUAD_OS_df017	XGBoost	nthread	1
LUAD_OS_df017	XGBoost	validate_parameters	TRUE
LUAD_OS_df017	XGBoost	nrounds	500
LUAD_OS_df017	RSF	ntree	1000
LUAD_OS_df017	RSF	mtry	34
LUAD_OS_df017	RSF	nodesize	15
LUAD_OS_df017	MTLR	nintervals	default
LUAD_OS_df017	MTLR	regularization	C1=1
LUAD_OS_df017	MVL	weight_RSF	0.25
LUAD_OS_df017	MVL	weight_XGBoost	0.25
LUAD_OS_df017	MVL	weight_MTLR	0.25
LUAD_OS_df017	MVL	weight_Boruta	0.25
LUAD_PFI_df017	XGBoost	objective	survival:cox
LUAD_PFI_df017	XGBoost	eval_metric	cox-nloglik
LUAD_PFI_df017	XGBoost	eta	0.05
LUAD_PFI_df017	XGBoost	max_depth	4
LUAD_PFI_df017	XGBoost	min_child_weight	3
LUAD_PFI_df017	XGBoost	subsample	0.8
LUAD_PFI_df017	XGBoost	nthread	1
LUAD_PFI_df017	XGBoost	validate_parameters	TRUE
LUAD_PFI_df017	XGBoost	nrounds	500
LUAD_PFI_df017	RSF	ntree	1000
LUAD_PFI_df017	RSF	mtry	34
LUAD_PFI_df017	RSF	nodesize	15
LUAD_PFI_df017	MTLR	nintervals	default
LUAD_PFI_df017	MTLR	regularization	C1=1
LUAD_PFI_df017	MVL	weight_RSF	0.25
LUAD_PFI_df017	MVL	weight_XGBoost	0.25
LUAD_PFI_df017	MVL	weight_MTLR	0.25
LUAD_PFI_df017	MVL	weight_Boruta	0.25
LUSC_DFI_df147	XGBoost	objective	survival:cox
LUSC_DFI_df147	XGBoost	eval_metric	cox-nloglik
LUSC_DFI_df147	XGBoost	eta	0.05
LUSC_DFI_df147	XGBoost	max_depth	4
LUSC_DFI_df147	XGBoost	min_child_weight	3
LUSC_DFI_df147	XGBoost	subsample	0.8
LUSC_DFI_df147	XGBoost	nthread	1
LUSC_DFI_df147	XGBoost	validate_parameters	TRUE
LUSC_DFI_df147	XGBoost	nrounds	500
LUSC_DFI_df147	RSF	ntree	1000
LUSC_DFI_df147	RSF	mtry	28
LUSC_DFI_df147	RSF	nodesize	15
LUSC_DFI_df147	MTLR	nintervals	default
LUSC_DFI_df147	MTLR	regularization	C1=1
LUSC_DFI_df147	MVL	weight_XGBoost	12.920188
LUSC_DFI_df147	MVL	weight_MTLR	0.48131
LUSC_DFI_df147	MVL	weight_Boruta	0.193455
LUSC_DFI_df147	MVL	weight_RSF	0.147844
LUSC_DSS_df147	XGBoost	objective	survival:cox
LUSC_DSS_df147	XGBoost	eval_metric	cox-nloglik
LUSC_DSS_df147	XGBoost	eta	0.05
LUSC_DSS_df147	XGBoost	max_depth	4
LUSC_DSS_df147	XGBoost	min_child_weight	3
LUSC_DSS_df147	XGBoost	subsample	0.8
LUSC_DSS_df147	XGBoost	nthread	1
LUSC_DSS_df147	XGBoost	validate_parameters	TRUE
LUSC_DSS_df147	XGBoost	nrounds	500
LUSC_DSS_df147	RSF	ntree	1000
LUSC_DSS_df147	RSF	mtry	28
LUSC_DSS_df147	RSF	nodesize	15
LUSC_DSS_df147	MTLR	nintervals	default
LUSC_DSS_df147	MTLR	regularization	C1=1
LUSC_DSS_df147	MVL	weight_RSF	0.25
LUSC_DSS_df147	MVL	weight_XGBoost	0.25
LUSC_DSS_df147	MVL	weight_MTLR	0.25
LUSC_DSS_df147	MVL	weight_Boruta	0.25
LUSC_OS_df147	XGBoost	objective	survival:cox
LUSC_OS_df147	XGBoost	eval_metric	cox-nloglik
LUSC_OS_df147	XGBoost	eta	0.05
LUSC_OS_df147	XGBoost	max_depth	4
LUSC_OS_df147	XGBoost	min_child_weight	3
LUSC_OS_df147	XGBoost	subsample	0.8
LUSC_OS_df147	XGBoost	nthread	1
LUSC_OS_df147	XGBoost	validate_parameters	TRUE
LUSC_OS_df147	XGBoost	nrounds	500
LUSC_OS_df147	RSF	ntree	1000
LUSC_OS_df147	RSF	mtry	28
LUSC_OS_df147	RSF	nodesize	15
LUSC_OS_df147	MTLR	nintervals	default
LUSC_OS_df147	MTLR	regularization	C1=1
LUSC_OS_df147	MVL	weight_RSF	0.25
LUSC_OS_df147	MVL	weight_XGBoost	0.25
LUSC_OS_df147	MVL	weight_MTLR	0.25
LUSC_OS_df147	MVL	weight_Boruta	0.25
LUSC_PFI_df147	XGBoost	objective	survival:cox
LUSC_PFI_df147	XGBoost	eval_metric	cox-nloglik
LUSC_PFI_df147	XGBoost	eta	0.05
LUSC_PFI_df147	XGBoost	max_depth	4
LUSC_PFI_df147	XGBoost	min_child_weight	3
LUSC_PFI_df147	XGBoost	subsample	0.8
LUSC_PFI_df147	XGBoost	nthread	1
LUSC_PFI_df147	XGBoost	validate_parameters	TRUE
LUSC_PFI_df147	XGBoost	nrounds	500
LUSC_PFI_df147	RSF	ntree	1000
LUSC_PFI_df147	RSF	mtry	28
LUSC_PFI_df147	RSF	nodesize	15
LUSC_PFI_df147	MTLR	nintervals	default
LUSC_PFI_df147	MTLR	regularization	C1=10
LUSC_PFI_df147	MVL	weight_RSF	0.25
LUSC_PFI_df147	MVL	weight_XGBoost	0.25
LUSC_PFI_df147	MVL	weight_MTLR	0.25
LUSC_PFI_df147	MVL	weight_Boruta	0.25
MESO_DSS_df017	XGBoost	objective	survival:cox
MESO_DSS_df017	XGBoost	eval_metric	cox-nloglik
MESO_DSS_df017	XGBoost	eta	0.05
MESO_DSS_df017	XGBoost	max_depth	4
MESO_DSS_df017	XGBoost	min_child_weight	3
MESO_DSS_df017	XGBoost	subsample	0.8
MESO_DSS_df017	XGBoost	nthread	1
MESO_DSS_df017	XGBoost	validate_parameters	TRUE
MESO_DSS_df017	XGBoost	nrounds	500
MESO_DSS_df017	RSF	ntree	1000
MESO_DSS_df017	RSF	mtry	5
MESO_DSS_df017	RSF	nodesize	15
MESO_DSS_df017	MTLR	nintervals	default
MESO_DSS_df017	MTLR	regularization	C1=0.1
MESO_DSS_df017	MVL	weight_RSF	0.25
MESO_DSS_df017	MVL	weight_XGBoost	0.25
MESO_DSS_df017	MVL	weight_MTLR	0.25
MESO_DSS_df017	MVL	weight_Boruta	0.25
MESO_OS_df017	XGBoost	objective	survival:cox
MESO_OS_df017	XGBoost	eval_metric	cox-nloglik
MESO_OS_df017	XGBoost	eta	0.05
MESO_OS_df017	XGBoost	max_depth	4
MESO_OS_df017	XGBoost	min_child_weight	3
MESO_OS_df017	XGBoost	subsample	0.8
MESO_OS_df017	XGBoost	nthread	1
MESO_OS_df017	XGBoost	validate_parameters	TRUE
MESO_OS_df017	XGBoost	nrounds	500
MESO_OS_df017	RSF	ntree	1000
MESO_OS_df017	RSF	mtry	5
MESO_OS_df017	RSF	nodesize	15
MESO_OS_df017	MTLR	nintervals	default
MESO_OS_df017	MTLR	regularization	C1=0.1
MESO_OS_df017	MVL	weight_RSF	0.25
MESO_OS_df017	MVL	weight_XGBoost	0.25
MESO_OS_df017	MVL	weight_MTLR	0.25
MESO_OS_df017	MVL	weight_Boruta	0.25
MESO_PFI_df017	XGBoost	objective	survival:cox
MESO_PFI_df017	XGBoost	eval_metric	cox-nloglik
MESO_PFI_df017	XGBoost	eta	0.05
MESO_PFI_df017	XGBoost	max_depth	4
MESO_PFI_df017	XGBoost	min_child_weight	3
MESO_PFI_df017	XGBoost	subsample	0.8
MESO_PFI_df017	XGBoost	nthread	1
MESO_PFI_df017	XGBoost	validate_parameters	TRUE
MESO_PFI_df017	XGBoost	nrounds	500
MESO_PFI_df017	RSF	ntree	1000
MESO_PFI_df017	RSF	mtry	5
MESO_PFI_df017	RSF	nodesize	15
MESO_PFI_df017	MTLR	nintervals	default
MESO_PFI_df017	MTLR	regularization	C1=0.1
MESO_PFI_df017	MVL	weight_RSF	0.25
MESO_PFI_df017	MVL	weight_XGBoost	0.25
MESO_PFI_df017	MVL	weight_MTLR	0.25
MESO_PFI_df017	MVL	weight_Boruta	0.25
OV_DFI_df377	XGBoost	objective	survival:cox
OV_DFI_df377	XGBoost	eval_metric	cox-nloglik
OV_DFI_df377	XGBoost	eta	0.05
OV_DFI_df377	XGBoost	max_depth	4
OV_DFI_df377	XGBoost	min_child_weight	3
OV_DFI_df377	XGBoost	subsample	0.8
OV_DFI_df377	XGBoost	nthread	1
OV_DFI_df377	XGBoost	validate_parameters	TRUE
OV_DFI_df377	XGBoost	nrounds	500
OV_DFI_df377	RSF	ntree	1000
OV_DFI_df377	RSF	mtry	8
OV_DFI_df377	RSF	nodesize	15
OV_DFI_df377	MTLR	nintervals	default
OV_DFI_df377	MTLR	regularization	C1=10
OV_DFI_df377	MVL	weight_XGBoost	1.959966
OV_DFI_df377	MVL	weight_MTLR	0.98452
OV_DFI_df377	MVL	weight_RSF	-0.648442
OV_DFI_df377	MVL	weight_Boruta	0.019461
OV_DSS_df377	XGBoost	objective	survival:cox
OV_DSS_df377	XGBoost	eval_metric	cox-nloglik
OV_DSS_df377	XGBoost	eta	0.05
OV_DSS_df377	XGBoost	max_depth	4
OV_DSS_df377	XGBoost	min_child_weight	3
OV_DSS_df377	XGBoost	subsample	0.8
OV_DSS_df377	XGBoost	nthread	1
OV_DSS_df377	XGBoost	validate_parameters	TRUE
OV_DSS_df377	XGBoost	nrounds	500
OV_DSS_df377	RSF	ntree	1000
OV_DSS_df377	RSF	mtry	8
OV_DSS_df377	RSF	nodesize	15
OV_DSS_df377	MTLR	nintervals	default
OV_DSS_df377	MTLR	regularization	C1=1
OV_DSS_df377	MVL	weight_XGBoost	2.477112
OV_DSS_df377	MVL	weight_RSF	0.216841
OV_DSS_df377	MVL	weight_MTLR	0.128516
OV_DSS_df377	MVL	weight_Boruta	0
OV_OS_df377	XGBoost	objective	survival:cox
OV_OS_df377	XGBoost	eval_metric	cox-nloglik
OV_OS_df377	XGBoost	eta	0.05
OV_OS_df377	XGBoost	max_depth	4
OV_OS_df377	XGBoost	min_child_weight	3
OV_OS_df377	XGBoost	subsample	0.8
OV_OS_df377	XGBoost	nthread	1
OV_OS_df377	XGBoost	validate_parameters	TRUE
OV_OS_df377	XGBoost	nrounds	500
OV_OS_df377	RSF	ntree	1000
OV_OS_df377	RSF	mtry	8
OV_OS_df377	RSF	nodesize	15
OV_OS_df377	MTLR	nintervals	default
OV_OS_df377	MTLR	regularization	C1=1
OV_OS_df377	MVL	weight_XGBoost	1.858085
OV_OS_df377	MVL	weight_RSF	0.182943
OV_OS_df377	MVL	weight_MTLR	0.077037
OV_OS_df377	MVL	weight_Boruta	0.02028
OV_PFI_df377	XGBoost	objective	survival:cox
OV_PFI_df377	XGBoost	eval_metric	cox-nloglik
OV_PFI_df377	XGBoost	eta	0.05
OV_PFI_df377	XGBoost	max_depth	4
OV_PFI_df377	XGBoost	min_child_weight	3
OV_PFI_df377	XGBoost	subsample	0.8
OV_PFI_df377	XGBoost	nthread	1
OV_PFI_df377	XGBoost	validate_parameters	TRUE
OV_PFI_df377	XGBoost	nrounds	500
OV_PFI_df377	RSF	ntree	1000
OV_PFI_df377	RSF	mtry	8
OV_PFI_df377	RSF	nodesize	15
OV_PFI_df377	MTLR	nintervals	default
